fly,split,start_time_s,frames_drawn,rollout_end_error_model_mm,rollout_end_error_physics_mm,onestep_median_model_mm,onestep_median_physics_mm,onestep_win_rate
17,test,1292.3055419921875,3,0.018611758295863222,0.16137760115795352,0.02504606009988394,0.1426201363726016,0.9626168224299065
18,val,1395.0986328125,3,0.06732803534150873,0.019718536300492338,0.030786624663388735,0.1654228207547375,0.9626168224299065
19,train,1578.5306396484375,3,0.030970654799962184,0.19547922368419735,0.03092942267183894,0.17280196768813458,0.9906542056074766
20,train,255.5417022705078,3,0.06459244023070339,0.2753907416993175,0.029381269563635307,0.13818552788612534,0.9626168224299065
21,train,1.0666999816894531,3,0.06242549633884821,0.2040385389517284,0.041752572273479636,0.2210067116146373,0.9626168224299065
22,train,229.92430114746094,3,0.017394292910158496,0.08993322191255855,0.025056225522305773,0.14200795768441443,0.9813084112149533
23,train,1155.3175048828125,3,0.02973953707317127,0.06511466375056615,0.029222935774924755,0.1432548683924,0.9813084112149533
24,test,1484.43505859375,3,0.007697708953295826,0.34698983847725917,0.027539370370829742,0.16663053205812983,0.9439252336448598
25,train,992.34619140625,3,0.024030987930983766,0.08700074821488403,0.027521183605882023,0.15982285231916782,0.9252336448598131
26,train,21.75029945373535,3,0.0483492352744071,0.3048058269411802,0.03661592147786963,0.18817319940268667,0.9532710280373832
27,train,1298.8223876953125,3,0.035365206808607524,0.175416289148293,0.02460672664586655,0.13397050826102588,0.9439252336448598
28,train,699.4910278320312,3,0.0022631584061785673,0.11783332074532075,0.023097055026271143,0.09753052986511697,0.9065420560747663
29,train,864.8759765625,3,0.01428723968203431,0.16953240653477247,0.02052363710276737,0.10481123216451967,0.9345794392523364
30,train,174.65570068359375,3,0.06892076332589987,0.17454571254576007,0.030460908979726524,0.19221066301661133,0.9626168224299065
31,train,887.7982788085938,3,0.010560232703153143,0.19325409214493466,0.027122430255436727,0.1343540550151801,0.9532710280373832
32,val,987.2020263671875,3,0.023013288198304074,0.13846660692696514,0.024357038104250543,0.124780082594362,0.9719626168224299
33,val,1256.927978515625,3,0.011955040500306859,0.10690683369971048,0.028060439527793364,0.1615043968695861,0.9065420560747663
34,train,826.4959106445312,3,0.024056214857924973,0.06332670378261598,0.023339226154071368,0.1449334207229094,0.9439252336448598
35,train,1370.399169921875,3,0.04470666242493902,0.08781792737824216,0.024081558436091666,0.11683055252389153,0.9532710280373832
36,train,977.5352172851562,3,0.03568748552161118,0.09898151989754451,0.03182550604572935,0.1681412454971069,0.9719626168224299
37,test,1441.9659423828125,3,0.017886363225556142,0.14340672701913137,0.029539375162900307,0.1443480894504991,0.9626168224299065
38,train,687.6580200195312,3,0.012394615608143908,0.15513056822746868,0.026360898018201046,0.15344117231954205,0.9626168224299065
39,train,1255.0789794921875,3,0.013424238562447722,0.21034898284988862,0.0248623833492805,0.11963165779379717,0.9532710280373832
40,train,1106.6070556640625,3,0.04386412750620804,0.30477116967196716,0.02618585722629164,0.16760528693131052,0.9719626168224299
41,test,1125.85791015625,3,0.04938968903776907,0.11293063618251455,0.028887049537825536,0.13822115689726686,0.9345794392523364
42,train,83.6854019165039,3,0.03380211641840476,0.1112961858085138,0.02895562086844105,0.15369661916930166,0.9532710280373832
43,train,1342.9654541015625,3,0.0099683086352169,0.07390529726728319,0.029610124722584227,0.13535054681379746,0.9345794392523364
44,train,1110.5570068359375,3,0.029373246491195753,0.2175068392560839,0.023616261533299508,0.12999420166911171,0.9626168224299065
45,train,474.56689453125,3,0.019423212107073123,0.09519726915045063,0.02695196546075609,0.13365264623987644,0.9532710280373832
46,train,917.283203125,3,0.056529068164840365,0.15027479241894542,0.02821468453246194,0.15027479241894537,0.9439252336448598
47,val,1176.8580322265625,3,0.023978681511061535,0.288116783785779,0.02644772021595343,0.1428423256368212,0.9719626168224299
48,test,925.7963256835938,3,0.05194163932069399,0.1167319599263948,0.02765366420359744,0.13845349301127752,0.9813084112149533
49,train,1001.3015747070312,3,0.09127362111064272,0.145351481297504,0.022944357712535,0.14584285967636876,0.9719626168224299
50,train,141.37060546875,3,0.037531767868262816,0.11512149803661151,0.02620816235476944,0.16625247693750123,0.9906542056074766
51,train,917.815185546875,3,0.014610953547026967,0.09900726639465714,0.02795679438185706,0.1349412570632617,0.9813084112149533
52,train,1763.2110595703125,3,0.08485572732532473,0.13153958152753176,0.0321643556840596,0.13153958152753178,0.9252336448598131
53,val,1526.169921875,3,0.02252665849456179,0.15749570667746549,0.024187738055601742,0.1394711147357412,0.9532710280373832
54,test,724.0750122070312,3,0.03862380277422502,0.09176016389978264,0.025489630099545593,0.13824976856001706,0.9158878504672897
55,test,734.3052978515625,3,0.009927626386798154,0.12124261681141678,0.024325823606101218,0.13906482497191128,1.0
56,train,1765.845458984375,3,0.03141189532545074,0.459959394641939,0.03349988622076046,0.15207709135993108,0.9065420560747663
57,train,696.6209716796875,3,0.05614518891896121,0.17520390911451436,0.02077151156834015,0.11621237006877212,0.9439252336448598
58,val,1311.5457763671875,3,0.04738617200032827,0.05061018726273443,0.02994899721242654,0.12925397514040995,0.897196261682243
59,test,1279.9058837890625,3,0.0355985852849961,0.03911508675021585,0.02450058974299009,0.11880355936321554,0.9626168224299065
60,test,1269.0555419921875,3,0.04113902837518648,0.15559437108104363,0.021723455592130153,0.10090261210808253,0.9626168224299065
61,val,887.980224609375,3,0.07107424612271776,0.09902905087871369,0.025598729239299203,0.15425456385899894,0.9626168224299065
62,train,1620.4735107421875,3,0.014164386280485185,0.13691110235339182,0.033440407172613734,0.15417050223867418,0.9719626168224299
63,val,872.2271728515625,3,0.02144710534244995,0.08376100627652039,0.0311513242189709,0.15697845684435138,0.9532710280373832
64,train,1705.20947265625,3,0.018690979584958547,0.4157111734001137,0.025908494560566504,0.1521965715859394,0.9719626168224299
65,train,204.35679626464844,3,0.021189831611063973,0.07825386029805147,0.02506851652828587,0.1223289611177647,0.9439252336448598
66,train,1521.0035400390625,3,0.04521621640454671,0.2818431371947616,0.03259807110456855,0.1570818456067721,0.9345794392523364
67,train,528.1497192382812,3,0.049264177078082144,0.017462792281074068,0.02717728598008504,0.14581194523366023,0.9439252336448598
68,test,97.21929931640625,3,0.017555037939173068,0.260583582981878,0.03059925025281785,0.20341247944449461,0.9813084112149533
